,href,title,description,location,tags,upd,comm,supp,rewards_num,money,rate,days,status
38,https://www.crowdfunder.co.uk/togc-bounce-back,Help TOGC Bounce Back Bigger and Better!,At Tamworth Olympic Gymnastics Club we want to 'BOUNCE BACK' BIGGER & BETTER after smoke damage closed our gym on the 7th Jan '23.,null,"['Community', 'Sports']",4,46,187,39,20000,0.74,null,funding
39,https://www.crowdfunder.co.uk/open-for-community,Open for Community,"Our project ""Open for Community"" will upgrade our 1874 premises, reduce our carbon footprint and improve environmental sustainability.","Grange-over-Sands, England, United Kingdom",['Community'],2,11,48,0,15000,2.63,null,funding
40,https://www.crowdfunder.co.uk/hungry-for-change,Hungry for Change!,We need to fund our film about the climate impacts of our broken food system... and the amazing people in Cornwall working to tackle it!,"Torpoint, Cornwall, United Kingdom","['Food and Drink', 'Environment']",2,63,138,18,15000,0.96,null,funding
41,https://www.crowdfunder.co.uk/lifeatno27-brynawel-house-therapy-garden,Therapy Allotments for Brynawel House,"Life at No.27 needs to build a new therapy garden, offering free & low-cost mental health support and gardening therapy to all ages in need.",null,"['Community', 'Environment']",5,16,66,6,30000,1.26,null,funding
42,https://www.crowdfunder.co.uk/yemen-emergency-appeal-medical-food-aid,Yemen Emergency Appeal (Medical & Food Aid),Marwa Relief is raising funds to urgently support families & children suffering in Yemen.,null,['Charities'],1,69,177,0,15000,1.35,null,funding
43,https://www.crowdfunder.co.uk/unravellingshortfilm,UnravellingShortFilm,SHORT HORROR FILM - aiming to raise awareness around Multiple Sclerosis and its effects on those who suffer from it.,"Glasgow, Glasgow City, United Kingdom","['Creative & Arts', 'Film and Theatre']",19,32,120,15,null,null,null,funding
44,https://www.crowdfunder.co.uk/koba-ko-ramen-bar,Koba-Ko Ramen Bar,"Koba-Ko has secured a permanent location in Kings Heath, Birmingham to open a ramen bar and we are in need of your help to make it happen!","Birmingham, West Midlands, United Kingdom",['Food and Drink'],1,66,187,12,12946,null,28,funding
45,https://www.crowdfunder.co.uk/govanhill-community-cinema,Govanhill Community Cinema,"We are crowdfunding to support the development of a Community Cinema in our neighbourhood of Govanhill, Glasgow","Glasgow, , United Kingdom","['Creative & Arts', 'Community']",3,37,216,15,null,null,null,funding
46,https://www.crowdfunder.co.uk/gendergp,Help trans youth access lifesaving medical care,Work with Susie Green to help fund essential and life-saving healthcare for trans youth and their families.,United Kingdom,"['Community', 'Health & fitness']",0,36,97,0,30000,0.39,null,funding
47,https://www.crowdfunder.co.uk/findlaynapieroutsider,Findlay Napier's Outsider Project,"""Outsider"" is a multi-media extravaganza of new album from Findlay Napier exploring outsiders in love and outsiders in life.","Isle of Arran, North Ayrshire Council, United Kingdom","['Creative & Arts', 'Music']",5,61,148,17,12615,null,32,funding
48,https://www.crowdfunder.co.uk/helping-hedgehogs-thrive-again,Helping Hedgehogs Thrive Again,"In the last 20 years, hedgehog numbers have dropped by a third in urban areas and by half in rural areas. We must help save hedgehogs.","London, England, United Kingdom","['Environment', 'Charities']",0,62,204,0,10000,7.89,null,funding
49,https://www.crowdfunder.co.uk/bristolgreenleaders,Green Leaders for Bristol and the West of England,"We're fundraising to elect the first Green Mayor in Bristol, plus Green leaders for the West of England region and Avon & Somerset Police","Bristol, England, United Kingdom","['Community', 'Environment']",3,50,161,6,11414,null,56,funding
50,https://www.crowdfunder.co.uk/growing-the-insect-super-highways,Growing the insect super highways,To grow the mapped B-Lines network across the UK  by enabling Buglife to build on the ground partnerships  of landowners and funders.,"Peterborough, United Kingdom",['Environment'],0,16,106,3,50000,0.22,null,funding
51,https://www.crowdfunder.co.uk/the-granville-pugin-studios,Pugin Studios at The Granville Hotel,"Help us save Kent's heritage! We are currently working on a couple of projects in Kent, starting with Pugin Studios. Find out more below.","Ramsgate, Kent, United Kingdom","['Community', 'Creative & Arts']",0,39,97,20,50000,0.22,null,funding
52,https://www.crowdfunder.co.uk/lochinshdryslope,To Resurface & improve gradient of Loch Insh slope,"We need your help to replace our ageing artificial ski slope with a new, extended, state-of-the-art and climate-ready facility.","Kingussie, Highland Council, United Kingdom","['Community', 'Sports']",3,53,109,14,11880,null,49,funding
53,https://www.crowdfunder.co.uk/the-wash-house-garden-growing-food-and-community,The Wash House Garden - Growing Food and Community,"We are raising money to keep our community garden in the East End of Glasgow going, to keep feeding local people and offer a community space","Glasgow, Scotland, United Kingdom","['Food and Drink', 'Community']",2,32,112,8,10970,null,42,funding
54,https://www.crowdfunder.co.uk/get-elizabeth-to-japan,Get Elizabeth to Japan,Help Elizabeth fulfill her lifelong dream of visiting Japan,"Braintree, England, United Kingdom",['Personal Causes'],0,35,89,0,10752,null,28,funding
55,https://www.crowdfunder.co.uk/a-developing-and-improving-moseley-ashfield-cc,A developing and improving Moseley Ashfield CC,The club intends to further grow its cricket offer in 2023 and with that ensure that the facilities are welcoming and inclusive.,"Birmingham, West Midlands, United Kingdom","['Community', 'Sports']",2,13,79,24,12500,1.06,null,funding
56,https://www.crowdfunder.co.uk/the-backstreet,The Backstreet Film,"This short documentary celebrates the iconic club The Backstreet and its unique community. An exploration of desire, kink and friendship.","Greater London, United Kingdom","['Film and Theatre', 'Community']",7,37,173,8,13483,null,56,funding
57,https://www.crowdfunder.co.uk/croesyceiliog-afc-clubhouse-improvements,Croesyceiliog AFC Clubhouse improvements,We need the community help to repair our damaged roof and enable all our users safe access to the clubhouse and changing rooms,"Cwmbran, Torfaen Principal Area, United Kingdom","['Community', 'Sports']",0,23,90,7,15000,1.04,null,funding
58,https://www.crowdfunder.co.uk/fund-feminist-politics,Fund feminist candidates in local elections,The Women's Equality Party is fundraising to ensure feminist candidates are elected to local councils across the UK.,United Kingdom,['Politics'],0,73,208,7,15000,1.2,null,funding
59,https://www.crowdfunder.co.uk/supportmusic,"Music Broth - Can we play it?  Yes, we can!","Help our musical instrument library to enable and encourage more people to meet, jam, collaborate, create, repair instruments and have fun!","Glasgow, Glasgow City, United Kingdom","['Creative & Arts', 'Community']",7,30,134,12,null,null,null,funding
60,https://www.crowdfunder.co.uk/ultra-education---youth-entrepreneurship-workshops,Ultra Education - Youth Entrepreneurship Workshops,"Help fund a series of Entrepreneurship workshops in a warm space for children & young people, at new offices right next to Wembley Stadium","Wembley, Greater London, United Kingdom","['Community', 'Business']",0,10,29,4,10030,null,28,funding
61,https://www.crowdfunder.co.uk/waringstown-cricket-club---women-and-girls,Waringstown Cricket Club - Women and Girls,Waringstown Cricket Club aim to use this crowdfunding project to help support the growth and development of our women and girls sections.,"Craigavon, Armagh City, Banbridge and Craigavon, United Kingdom","['Community', 'Sports']",0,9,49,3,10415,null,28,funding
62,https://www.crowdfunder.co.uk/help-us-build-safe-spaces-for-girls-in-lebanon,Help us build safe spaces for girls in Lebanon,"Help us work with teenage girls to promote gender equality in vulnerable neighbourhoods of Lebanon, one public space at a time!","Beirut, Lebanon","['Community', 'Charities']",1,18,96,6,11310,1.02,null,funding
63,https://www.crowdfunder.co.uk/changing-rooms-for-new-pitch,New Changing Rooms with Privacy for New Pitch,"To build two new changing rooms with privacy for men, women and juniors","Coventry, Warwickshire, United Kingdom","['Community', 'Sports']",3,9,93,13,15000,1.04,null,funding
64,https://www.crowdfunder.co.uk/base51nottingham,Save Our Youth Club,To support hundreds of vulnerable 11-25 year olds in Nottingham and Nottinghamshire.,"Nottingham, England, United Kingdom",['Charities'],0,40,98,4,50000,0.19,null,funding
65,https://www.crowdfunder.co.uk/east-brighton-food-co-operative-1,EBFC - Citywide Community Meals on Wheels Service,"Continuing our Community, Citywide, Fresh & Nutritious Daily Meals on Wheels service for those at risk of malnutrition in Brighton & Hove.","Brighton and Hove, United Kingdom","['Food and Drink', 'Community']",0,7,33,6,50000,0.18,null,funding
66,https://www.crowdfunder.co.uk/junior-plate-finches,Women's Junior Plate Final,Help get the Finches to the Final!!,"Workington, Cumbria, United Kingdom","['Community', 'Sports']",1,127,153,0,10000,1.17,null,funding
67,https://www.crowdfunder.co.uk/east-belfast-gaa-building-together-2023,East Belfast GAA - Together 2023,Help marginalised girls & women access sport & support new volunteers from all communities providing diverse role models at EBGAA post Covid,"Belfast, , United Kingdom","['Community', 'Sports']",0,51,88,3,8490,1.05,null,funding
68,https://www.crowdfunder.co.uk/st-marys-aughlisnafin---healthy-bodies-and-minds,St Mary's Aughlisnafin - Healthy bodies and minds,The Friends Of The Fin are looking to raise funds to support develop sports through new equipment and fitness sessions from Bee Active NI.,"Castlewellan, Newry, Mourne and Down, United Kingdom","['Community', 'Sports']",1,5,38,4,10000,1.03,null,funding
69,https://www.crowdfunder.co.uk/thecarousel,Community Work Day,"In a world which is becoming more remote, Community Work Day aims to bring people together.","Nottingham, United Kingdom","['Community', 'Creative & Arts']",4,47,120,17,8688,null,44,funding
70,https://www.crowdfunder.co.uk/ci-sixers---blasting-through-covid-and-beyond,CI Sixers: blasting beyond COVID,To deliver a new girls' cricket team at U15 level through focussed coaching at the club and engaging local girls' secondary schools.,"Belfast, United Kingdom","['Sports', 'Leisure']",0,5,27,7,10000,0.86,null,funding
71,https://www.crowdfunder.co.uk/save-the-change-is-possible-project,Save the 'Change is Possible Project',Help us to ensure the Change is Possible Project survives to continue to help those forgotten members of our society who need it most.,"Cullompton, Devon, United Kingdom",['Health & fitness'],0,34,67,0,10000,0.84,null,funding
72,https://www.crowdfunder.co.uk/protect-public-right-to-environmental-information,Protect public right to environmental information,The Environmental Information Regulations 2004 are on a list of leglislation that Defra is currently considering scrapping.,"Leominster, Herefordshire, United Kingdom",['Environment'],1,124,347,0,7000,2.78,null,funding
73,https://www.crowdfunder.co.uk/return-to-sport,Downey House Return To Sport,Downey House PTA's aim is to bring back after school sports activities and competition for ALL pupils.,"Belfast, United Kingdom","['Community', 'Sports']",0,15,50,16,10000,0.82,null,funding
74,https://www.crowdfunder.co.uk/fashions-cool,Fashion'S COOL,To aid the Dunbar-based Fashion School in the growth and development of its innovative engagement projects within the community.,"Dunbar, East Lothian Council, United Kingdom",['Creative & Arts'],0,32,56,10,10170,null,32,funding
75,https://www.crowdfunder.co.uk/one-team--past-present-future,"'One Team'- Past, Present, Future","The ‘One Team’ Project will focus on the rebuilding and future development of our club, Leander Amateur Swimming Club in Northern Ireland.",null,"['Community', 'Sports']",0,8,31,10,10000,0.82,null,funding
76,https://www.crowdfunder.co.uk/support-glasgows-refugees,Support Glasgow's Refugees: your Donation Doubled!,"Following the loss of funding for our award-winning Weekend Club for refugees, we’re raising funds to save it!","Glasgow, Scotland, United Kingdom","['Community', 'Environment']",0,17,55,0,30000,1.09,null,funding
77,https://www.crowdfunder.co.uk/in-the-room,In The Room - Short Film,"We are fundraising for an urgent and provocative short film entitled “In The Room”, the debut project of Bar Italia Films.","Glasgow, , United Kingdom","['Creative & Arts', 'Film and Theatre']",2,35,118,12,null,null,null,funding
78,https://www.crowdfunder.co.uk/the-table-community-coffee-shop,Support The Table Community Coffee Shop,"We are a community coffee shop in Walsall town centre, set up to provide a safe, welcoming and warm space for our local community.","Walsall, West Midlands, United Kingdom","['Community', 'Food and Drink']",2,45,100,0,15000,1.6,null,funding
79,https://www.crowdfunder.co.uk/communitykettlecic,Community Kettle Empowering People to Connect.,Turning an empty large retail unit into an inclusive diverse space where the kettle is on encouraging all ages to come and share experiences,"Portsmouth, United Kingdom","['Community', 'Social Enterprise']",12,33,71,7,15000,0.53,null,funding
80,https://www.crowdfunder.co.uk/support-the-elderly-against-he,Support the elderly against heat poverty,"Our aim is to reduce heat poverty in our local area for the most vulnerable people in our community, the elderly.","Smethwick, England, United Kingdom","['Community', 'Social Enterprise']",0,9,22,0,24500,0.36,null,funding
81,https://www.crowdfunder.co.uk/covid-bereaved-must-be-heard-at-the-covid-inquiry,Covid Bereaved MUST be heard at the Covid Inquiry,Donate to help us fight for testimony of bereaved families to be heard and used at the Covid Inquiry this March.,United Kingdom,"['Community', 'Politics']",2,140,324,0,20000,0.39,null,funding
82,https://www.crowdfunder.co.uk/oldbrentwoodsclub-accessforall,Old Brentwoods Club: Access for All,To elevate the Old Brentwoods Club's offering to all by improving accessibility to its facilities,null,"['Sports', 'Health & fitness']",0,38,82,15,20000,0.43,null,funding
83,https://www.crowdfunder.co.uk/bodmincollegepresents,The 'Bodmin College Presents' Radio Mics Project,"Bodmin College Performing Arts are striving to purchase of a set of Radio Mics for their musicals, showcases, concerts and exam assessments.","Bodmin, Cornwall, United Kingdom","['Music', 'Film and Theatre']",13,77,142,8,10000,1.78,null,funding
84,https://www.crowdfunder.co.uk/where-now-a-dark-wood-stands,Where Now A Dark Wood Stands,Join me to create a music video about Scotland's journey from monoculture timber plantations to more diverse landscapes,"Inverness, Highland Council, United Kingdom","['Creative & Arts', 'Music']",2,34,67,5,8750,null,32,funding
85,https://www.crowdfunder.co.uk/cody-23,CODY 23 COMMUNITY FUND,The CODY 23 Community fund is a project aimed to create a legacy in the memory of Stratford Town FC player Cody Fisher.,"Stratford-upon-Avon, Warwickshire, United Kingdom",['Community'],0,32,71,0,23000,0.33,null,funding
86,https://www.crowdfunder.co.uk/tgc-transformational-nature-connection,Help us deliver transformational nature connection,"We run fun, immersive programmes to get urban children into nature for health, happiness and to inspire a long term care of the environment.","London, Greater London, United Kingdom","['Community', 'Environment']",0,15,41,4,15000,1.05,null,funding
87,https://www.crowdfunder.co.uk/funding-reforestion-of-cornwall,Funding the Reforestation of Cornwall,"Plant One is reforesting Cornwall, the most deforested county in the UK. Funding allows the business to become fully financially independant","Penryn, England, United Kingdom","['Community', 'Environment']",0,14,30,0,40000,0.22,null,funding
88,https://www.crowdfunder.co.uk/british-longboard-surf-team,British Longboard Surf Team - ISA World Champs '23,We are raising funds to help the British Longboard Surf Team to get to the 2023 ISA World Champs in El Salvador,"Cornwall, United Kingdom",['Sports'],3,159,347,5,10000,1.54,null,funding
89,https://www.crowdfunder.co.uk/thefootballtribe,The Football Tribe Documentary Film,We're making a feature documentary that explores the different ways in which people around the world express themselves through football.,"London, Greater London, United Kingdom",['Film and Theatre'],3,17,34,8,40000,0.18,null,funding
90,https://www.crowdfunder.co.uk/hallow-fields,Hallow Fields - 45 acres for nature and people,"To restore 45 acres of farmland to nature-rich grassland, orchards, marsh, and woodland, for wildlife & everyone.","Worcester, England, United Kingdom",['Environment'],0,24,56,0,15000,1.0,null,funding
91,https://www.crowdfunder.co.uk/talks-at-the-lane,TALKS AT THE LANE,Support Season 2 of TALKS AT THE LANE,"Edinburgh, United Kingdom",['Creative & Arts'],2,21,76,11,7924,null,32,funding
92,https://www.crowdfunder.co.uk/pwb-a-safe-space-for-lgbtq-asylum-seekers,PWB: A Safe Space for LGBTQ+ Asylum Seekers,"We provide a safe space for LGBTQ+ people seeking asylum to be themselves and build a new, fulfilling life in Bristol","Bristol, Bristol City, United Kingdom",['Charities'],4,10,85,4,11000,0.68,null,funding
93,https://www.crowdfunder.co.uk/harpsouthend,A safe place for people sleeping rough in Southend,"To provide a safe, warm space for people forced to sleep rough in Southend, and to keep our doors open for everyone who needs our support.","Southend-on-Sea, United Kingdom","['Community', 'Food and Drink']",0,12,69,0,null,null,null,funding
94,https://www.crowdfunder.co.uk/solo-unsupported-expedition-to-the-south-pole,"Solo, Unsupported Expedition to the South Pole","This November, I will ski over 700 miles on a solo, unsupported expedition to the South Pole.","Camborne, Cornwall, United Kingdom","['Community', 'Sports']",0,23,32,16,50000,0.18,null,funding
95,https://www.crowdfunder.co.uk/eccleston-led-tennis-lights-upgrade,Eccleston Park Tennis Club Greener Tennis Lighting,"Our project aims to upgrade Eccleston Park Tennis Clubs floodlights to energy-efficient LED, improving playing experience and reducing costs","Prescot, Merseyside, United Kingdom","['Community', 'Sports']",1,6,84,47,20000,0.37,null,funding
96,https://www.crowdfunder.co.uk/change-your-story-change-for-life,Change your Story – Change for Life,Change your Story – Change for Life. Changing Lifes is raising money to provide trauma informed support to unemployed women,"Wantage, Oxfordshire, United Kingdom",['Community'],2,12,27,3,10000,1.35,null,funding
97,https://www.crowdfunder.co.uk/help-me-keep-periwinkle-and-clay-alive-prize-draw,Help me keep Periwinkle and Clay Alive Prize Draw,Help me stop the leasing company take my UV printer away from me.  Without the printer I loose 90% of my product range and the tiled frames.,"Macclesfield, Cheshire East, United Kingdom",['Creative & Arts'],2,448,1164,2,6675,null,22,funding
98,https://www.crowdfunder.co.uk/tnn-together,Tír na nÓg Together 2023,Tír na nÓg Together will deliver new & innovative initiatives to re-energise our community through inclusion & active opportunities for all.,"Craigavon, Armagh City, Banbridge and Craigavon, United Kingdom","['Community', 'Sports']",0,20,57,1,null,null,null,funding
99,https://www.crowdfunder.co.uk/st-peters-heat-pump-1,St Peter's Heat Pump,We would like to install an environmentally friendly air source heat pump as the existing gas heating system is in need of replacement,"Birmingham, England, United Kingdom",['Environment'],0,6,20,0,20000,0.31,null,funding
100,https://www.crowdfunder.co.uk/rgu-community-sports-project,RGU Community Sports Project,"Vital funds will support our Club to build back better from the Covid19 pandemic, allowing us to enhance programmes for young people locally","Downpatrick, Newry, Mourne and Down, United Kingdom","['Community', 'Sports']",0,11,49,5,6048,1.05,null,funding
101,https://www.crowdfunder.co.uk/holt-rfc-night-owls,Help Holt RFC keep shining a light on rugby talent,"To replace our floodlighting to eco-friendly and economical units, help save the planet and our members' money, and keep rugby affordable.","Holt, England, United Kingdom","['Environment', 'Sports']",1,15,36,2,19500,0.36,null,funding
